,id,title,original_language,release_date,popularity,vote_average,vote_count
91,361743,Top Gun: Maverick,en,2022-05-24,225.336,8.3,7315
92,632632,Given,ja,2020-08-22,18.532,8.3,357
93,299534,Avengers: Endgame,en,2019-04-24,120.653,8.3,23628
94,265177,Mommy,fr,2014-09-19,16.251,8.3,2514
95,568300,BTS World Tour: Love Yourself in Seoul,ko,2019-01-26,10.869,8.3,413
96,1585,It's a Wonderful Life,en,1946-12-20,38.194,8.3,3813
97,618344,Justice League Dark: Apokolips War,en,2020-05-05,31.812,8.3,1339
98,537061,Steven Universe: The Movie,en,2019-09-02,21.71,8.3,761
99,441130,Wolfwalkers,en,2020-10-26,21.883,8.3,994
100,299536,Avengers: Infinity War,en,2018-04-25,212.579,8.3,27439
101,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,2020-10-16,106.936,8.3,3322
102,8587,The Lion King,en,1994-06-24,132.318,8.3,16822
103,508965,Klaus,en,2019-11-08,23.635,8.3,3497
104,504253,I Want to Eat Your Pancreas,ja,2018-09-01,42.069,8.3,1312
105,667276,Legend Quest: The Origin,es,2021-02-15,82.986,8.3,226
106,42269,We All Loved Each Other So Much,it,1974-12-21,7.976,8.3,471
107,290098,The Handmaiden,ko,2016-06-01,62.008,8.2,3239
108,490132,Green Book,en,2018-11-16,45.586,8.2,10362
109,797,Persona,sv,1966-10-18,18.0,8.2,1885
110,24188,Il Sorpasso,it,1962-12-05,7.511,8.2,634
111,110420,Wolf Children,ja,2012-07-21,27.284,8.2,2071
112,572154,Rascal Does Not Dream of a Dreaming Girl,ja,2019-06-15,24.465,8.2,463
113,31414,Satantango,hu,1994-02-08,11.166,8.2,229
114,354912,Coco,en,2017-10-27,141.971,8.2,17502
115,694,The Shining,en,1980-05-23,41.818,8.2,16033
116,575813,Better Days,zh,2019-10-25,21.143,8.2,350
117,5156,Bicycle Thieves,it,1948-11-24,17.89,8.2,2112
118,37257,Witness for the Prosecution,en,1957-12-17,19.151,8.2,1188
119,556574,Hamilton,en,2020-07-03,15.573,8.2,1188
120,284,The Apartment,en,1960-06-21,24.788,8.2,1976
121,16869,Inglourious Basterds,en,2009-08-19,76.309,8.2,20550
122,522924,The Art of Racing in the Rain,en,2019-08-08,44.496,8.2,1271
