name,rating,service,No of employees,Company Age,Location
CreditAccess Grameen,4.2,Financial Services , 10k-50k Employees , 24 years old ,Bangalore/Bengaluru
Rebel Foods,3.7,Internet , 5k-10k Employees , 11 years old ,Mumbai
Adani Green Energy,4.2,Power , 501-1k Employees , 8 years old ,Ahmedabad
HomeLane,3.5,Architecture & Interior Design , 501-1k Employees , 9 years old ,Bangalore
ACTE,4.8,Education & Training , 1-10 Employees , 12 years old ,Chennai
Eris Lifesciences,3.8,Pharma , 1k-5k Employees , 16 years old ,Ahmedabad
Engineers India,4.3,1k-5k Employees , Public , 58 years old ,Delhi/NCR
AuthBridge Research Services,3.4,IT Services & Consulting , 501-1k Employees , 18 years old ,Gurgaon
Religare,3.7,Financial Services , 1k-5k Employees , 39 years old ,New Delhi
Salesforce,4.1,Software Product , 1k-5k Employees , 24 years old ,San Francisco
Dhani Loans and Services,3.7,NBFC , 1k-5k Employees , 1k-5k Employees ,New Delhi
Ingram Micro,4.0,IT Services & Consulting , 1k-5k Employees , 44 years old ,Irvine
TCNS Clothing Company,4.1,Fashion & Textile , 501-1k Employees , 22 years old ,Delhi/NCR
Ebix Software India,3.4,IT Services & Consulting , 1k-5k Employees , 47 years old ,Atlanta
Innodata Isogen,3.1,IT Services & Consulting , 1k-5k Employees , 26 years old ,New Jersey
McDermott International,4.2,Oil & Gas , 1k-5k Employees , 100 years old ,Houston
Finolex Cables,3.8,Electrical Equipment , 1k-5k Employees , 67 years old ,Pune
Apollo Munich Health Insurance,3.9,Financial Services , 1k-5k Employees , 16 years old ,Gurgaon
Svatantra Microfin,4.3,NBFC , 1k-5k Employees , 11 years old ,Mumbai
Rodic Consultants,4.3,Management Consulting , 501-1k Employees , 23 years old ,Delhi/NCR
Globant,4.0,IT Services & Consulting , 1k-5k Employees , 20 years old ,San Francisco
Neeyamo Enterprise Solutions,3.7,Recruitment , 1k-5k Employees , 14 years old ,Chennai
Lea Associates South Asia,4.3,Power , 201-500 Employees , 30 years old ,Delhi/NCR
Ukb Electronics,4.4,Electronics Manufacturing , 1k-5k Employees , 27 years old ,Noida
TÜV NORD,3.6,Other , 201-500 Employees , 34 years old ,Mumbai
Sharda Motor Industries,3.9,Auto Components , 1k-5k Employees , 37 years old ,Delhi/NCR
Jain Irrigation Systems,4.1,Accounting & Auditing , 51-200 Employees , 60 years old ,Jalgaon
Adani Enterprises,4.0,Financial Services , 1k-5k Employees , 35 years old ,Mumbai
IFFCO,4.0,Agro Chemicals , 1k-5k Employees , 56 years old ,Delhi/NCR
GSK Pharmaceuticals,4.2,Pharma , 1k-5k Employees , 193 years old ,Middlesex
HSBC Bank,4.4,Fortune India 500 , Hyderabad/Secunderabad +28 more,Fortune India 500 ,Hyderabad/Secunderabad
Biba Apparels,4.0,Fashion & Textile , 1k-5k Employees , 37 years old ,Gurgaon
Gayatri Projects,3.9,Engineering & Construction , 1k-5k Employees , 60 years old ,Hyderabad/Secunderabad
Ashirvad Pipes,4.2,Building Material , 1k-5k Employees , 48 years old ,Bengaluru/Bangalore
Ihg Group,4.1,Hospitality , 5k-10k Employees , 20 years old ,Gurgaon/Gurugram
TDK India,4.0,Semiconductors , 1k-5k Employees , 2023 years old ,Nashik
Indo Autotech,4.0,Auto Components , 1k-5k Employees , 49 years old ,Faridabad
Ameriprise Financial,4.0,Financial Services , 1k-5k Employees , 129 years old ,Gurgaon/Gurugram
Amphenol Interconnect,4.2,Electrical Equipment , 51-200 Employees , 51 years old ,Pune
Silaris Informations,3.1,BPO , 1k-5k Employees , 12 years old ,New Delhi
FIITJEE,3.7,Education & Training , 1k-5k Employees , 31 years old ,New Delhi
Guardian India,4.1,IT Services & Consulting , 1k-5k Employees , 163 years old ,Gurgaon/Gurugram
Royal Caribbean International,4.6,Sports & Recreation , 501-1k Employees , 54 years old ,Mumbai
ANZ Banking Group,4.0,Banking , 1k-5k Employees , 16 years old ,Bengaluru/Bangalore
Isuzu Motors,3.9,Automobile , 501-1k Employees , 11 years old ,Sri City
Pratap Technocrats,3.9,Telecom , 501-1k Employees , 25 years old ,Jaipur
Citco,3.3,Financial Services , 1k-5k Employees , 7 years old ,Pune
Muthoot Microfin,4.1,Financial Services , 5k-10k Employees , 8 years old ,Ernakulam
Edubridge Learning,3.8,Education & Training , 501-1k Employees , 14 years old ,Mumbai
United Spirits,4.1,Beverage , 1k-5k Employees , 26 years old ,Bengaluru/Bangalore
Sintex Industries,4.2,Industrial Machinery , 5k-10k Employees , 92 years old ,Ahmedabad
Echobooom Management & Entrepreneurial Solutions,4.0,Management Consulting , 201-500 Employees , 3 years old ,Kolkata
Raychem RPG,4.1,Electrical Equipment , 501-1k Employees , 34 years old ,Mumbai
Sl Lumax,3.2,Auto Components , 1k-5k Employees , 26 years old ,Sriperumbudur
Progressive Infotech,3.4,IT Services & Consulting , 501-1k Employees , 25 years old ,Noida
Government of India,4.1,Government , 1 Lakh+ Employees , 73 years old ,New Delhi
Rico Auto Industries,3.9,Auto Components , 1k-5k Employees , 40 years old ,Gurgaon/Gurugram
NTT DATA Business Solutions,3.9,IT Services & Consulting , Bengaluru/Bangalore +21 more,IT Services & Consulting ,Bengaluru/Bangalore
Ramco Systems,3.4,Software Product , 1k-5k Employees , 26 years old ,Chennai
Astral Pipe,4.1,Building Material , 1-10 Employees , Fortune India 500 ,Ahmedabad
Piramal Pharma,3.9,Pharma , 1k-5k Employees , 35 years old ,Lexington
Ups Logistics,4.3,Logistics , 1k-5k Employees , 116 years old ,Atlanta
Bses Rajdhani Power,3.8,Power , 5k-10k Employees (Global) , 22 years old ,Delhi/NCR
Union Bank of India,3.9,Banking , 50k-1 Lakh Employees , 104 years old ,Mumbai
Jabil Circuit India,3.9,Electronics Manufacturing , 1k-5k Employees , 57 years old ,St Petersburg
Wipro Infrastructure Engineering,3.8,Industrial Machinery , 1k-5k Employees , 47 years old ,Bangalore/Bengaluru
Xceedance,3.7,Insurance , 1k-5k Employees , 10 years old ,Boston
Mastek,3.8,IT Services & Consulting , 1k-5k Employees , 41 years old ,Mumbai
Zydus Wellness,3.4,FMCG , 1k-5k Employees , 35 years old ,Ahmedabad
Country Holidays Inn & Suites,4.5,Travel & Tourism , 501-1k Employees , 7 years old ,Noida
Rane (Madras),4.1,Auto Components , 201-500 Employees , 26 years old ,Vallancherry
Skipper,3.7,Power , 1k-5k Employees , 42 years old ,Kolkata
Re Sustainability Limited,4.0,Waste Management , 10k-50k Employees , 29 years old ,Hyderabad
MattsenKumar,3.4,BPO , 1k-5k Employees , 13 years old ,Gurgaon/Gurugram
Omaxe,3.8,Real Estate , 1k-5k Employees , 34 years old ,Delhi/NCR
VA Tech Wabag,3.9,Waste Management , 501-1k Employees , 99 years old ,Chennai
PUMA,4.3,Fashion & Textile , 1k-5k Employees , 75 years old ,Herzogenaurach
HCL Comnet,3.8,Noida +37 more,,,Noida
Target,4.4,Retail , 1k-5k Employees , 121 years old ,Minneapolis
Fractal Analytics,4.1,IT Services & Consulting , 1k-5k Employees , 23 years old ,New York City
OMICS International,2.7,Printing & Publishing , 51-200 Employees , 16 years old ,Hyderabad/Secunderabad
Vakrangee,3.7,BPO , 1k-5k Employees , 33 years old ,Mumbai
Sadbhav Engineering,4.3,Engineering & Construction , 1k-5k Employees , 35 years old ,Ahmedabad
Epicenter Technologies,3.6,IT Services & Consulting , 1k-5k Employees , 22 years old ,Mumbai
AVEVA,4.3,IT Services & Consulting , 1k-5k Employees , 56 years old ,Cambridge
Future Lifestyle Fashion,4.2,Retail , 5k-10k Employees , 11 years old ,Mumbai
Ag Industries,4.0,Auto Components , 201-500 Employees , 32 years old ,Delhi/NCR
Rohan Builders,4.3,Real Estate , 1k-5k Employees , 30 years old ,Pune
Amway India Enterprises,4.2,FMCG , 501-1k Employees , 28 years old ,Ada Township
Thriveni Earthmovers,3.9,Metals & Mining , 5k-10k Employees , 32 years old ,Salem
Times Internet,3.9,Internet , 10k-50k Employees , 24 years old ,Gurgaon
Shaktiman Tirth Agro Technology,4.1,Industrial Machinery , 1k-5k Employees , 26 years old ,Rajkot
Rentokil Pest Control,3.8,Facility Management Services , 501-1k Employees , 69 years old ,Mumbai
Integreon,3.5,Legal , 1k-5k Employees , 23 years old ,Fargo
Fleetguard Filters,4.1,Auto Components , 1k-5k Employees , 36 years old ,Pune
ZUVENTUS HEALTHCARE,4.0,Pharma , 1k-5k Employees , 21 years old ,Mumbai
Mott MacDonald,4.2,Engineering & Construction , 501-1k Employees , 121 years old ,Croydon
Simplilearn,3.3,EdTech , 1k-5k Employees , 14 years old ,San Francisco
Tata Hitachi Construction Machinery,3.9,1k-5k Employees , Fortune India 500 , 24 years old ,Bangalore/Bengaluru
Bioclinica,3.1,Pharma , 1k-5k Employees , 15 years old ,Princeton
Central Industrial Security Force,4.5,Government , 1 Lakh+ Employees , 54 years old ,Delhi/NCR
Epsilon,4.0,Marketing & Advertising , 1k-5k Employees , 54 years old ,Texas
CMS Computers Limited (INDIA),3.7,IT Services & Consulting , 1k-5k Employees , 47 years old ,Mumbai
India Cements,3.8,Building Material , 1k-5k Employees , 77 years old ,Chennai
Linde India,4.1,Oil & Gas , 201-500 Employees , 144 years old ,Pullach
Quatrro,3.4,IT Services & Consulting , 501-1k Employees , 18 years old ,Gurgaon
NSB Bpo Solutions,2.9,BPO , 1k-5k Employees , 30 years old ,Bhopal
Merino Industries,3.8,Building Material , 501-1k Employees , 55 years old ,Delhi/NCR
H&M,4.1,Retail , 1k-5k Employees , 76 years old ,Stockholm
Toyo Engineeering,3.8,Engineering & Construction , 1k-5k Employees , 47 years old ,Mumbai
Somany Ceramics,4.2,Building Material , 1k-5k Employees , 55 years old ,Noida
Bpo Convergence,3.4,BPO , 1k-5k Employees , 9 years old ,Bhubaneswar
Adani Solar,4.0,Power , 1k-5k Employees , 8 years old ,Ahmedabad
EPL Limited,3.9,Packaging , 1k-5k Employees , 39 years old ,Mumbai
GKN,4.1,Industrial Machinery , 1k-5k Employees , 38 years old ,Redditch
SitusAMC,3.3,Software Product , 1k-5k Employees , 1k-5k Employees ,Gurgaon/Gurugram
NielsenIQ,3.9,IT Services & Consulting , 1k-5k Employees , 100 years old ,Chicago
Bikanervala,4.0,FMCG , 1k-5k Employees , 73 years old ,Delhi/NCR
Alshaya Group,3.9,Retail , 501-1k Employees , 133 years old ,Kuwait City
Wonder Cement,4.2,Building Material , 1k-5k Employees , 13 years old ,Ajmer
Creambell,3.9,FMCG , 201-500 Employees , 32 years old ,Baddi
Naukri,3.9,Internet , 1k-5k Employees , 27 years old ,Noida
Baxter International,4.2,Healthcare , 1k-5k Employees , 27 years old ,Deerfield
Diebold Nixdorf,3.9,IT Services & Consulting , 1k-5k Employees , 31 years old ,North Canton
KaaShiv InfoTech Company,4.9,IT Services & Consulting , 51-200 Employees , 51-200 Employees ,Chennai
Deepak Nitrite,3.9,Chemicals , 1k-5k Employees , 53 years old ,Vadodara/Baroda
Csc E Governance Services,3.9,Government , 201-500 Employees , 14 years old ,Delhi
BASF,4.5,Chemicals , 1k-5k Employees , 80 years old ,Ludwigshafen
Lionbridge Technologies,3.8,Content Development , 1k-5k Employees , 27 years old ,Waltham
Vijaya Diagnostic Centre,4.0,Healthcare , 501-1k Employees , 42 years old ,Hyderabad/Secunderabad
General Motors,4.4,Automobile , 1k-5k Employees , 27 years old ,Detroit
MagicBricks,3.3,Internet , 501-1k Employees , 17 years old ,Noida
LifeCell International,3.6,Biotechnology , 1k-5k Employees , 19 years old ,Chennai
Encore Capital Group,4.1,IT Services & Consulting , 1k-5k Employees , 70 years old ,San Diego
Experis IT,3.1,Recruitment , 1k-5k Employees , 25 years old ,Milwaukee
India Japan Lighting,4.2,Auto Components , 501-1k Employees , 27 years old ,Chennai
MPS Limited,4.0,Printing & Publishing , 1k-5k Employees , 53 years old ,Noida
KGISL,3.4,IT Services & Consulting , 501-1k Employees , 27 years old ,Coimbatore
Citigroup,3.8,Banking , 10k-50k Employees , 211 years old ,New York City
Bluestream Software Solution,4.7,IT Services & Consulting , 1k-5k Employees , 1k-5k Employees ,New Delhi
Accolite,3.6,IT Services & Consulting , 1k-5k Employees , 16 years old ,Dallas
Mount Litera Zee School,3.9,Education & Training , 1k-5k Employees , 29 years old ,Mumbai
Hella,4.0,Auto Components , 1k-5k Employees , 124 years old ,Lippstadt
India Shelter Finance Corporation,4.0,NBFC , 1k-5k Employees , 13 years old ,Gurgaon
Financial Software & Systems,3.8,FinTech , 1k-5k Employees , 32 years old ,Chennai
T.v. Sundram Iyengar & Sons,4.3,Automobile , 1k-5k Employees , 112 years old ,Chennai
Sun Life Financial,4.4,IT Services & Consulting , 1k-5k Employees , 158 years old ,Toronto
Deccan Fine Chemicals,3.7,Agro Chemicals , 1k-5k Employees , 15 years old ,Hyderabad/Secunderabad
MasterCard,4.2,IT Services & Consulting , 1k-5k Employees , 57 years old ,Purchase
Quikr,3.7,Internet , 1k-5k Employees , 15 years old ,Bangalore
Saud Bahwan Group,3.4,Automobile , 201-500 Employees , 48 years old ,Muscat
Radical Minds,2.8,BPO , 5k-10k Employees , 13 years old ,Gurgaon/Gurugram
Educomp Solutions,3.5,EdTech , 11-50 Employees , 29 years old ,Gurgaon/Gurugram
Care Hospital,4.0,Healthcare , 1k-5k Employees , 26 years old ,Hyderabad/Secunderabad
Prism Johnson,3.9,Building Material , 1k-5k Employees , 31 years old ,Mumbai
Electrotherm,4.2,Iron & Steel , 1k-5k Employees , 40 years old ,Ahmedabad
Micro Turners,3.7,Auto Components , 51-200 Employees , 54 years old ,Panchkula
Northern Trust,3.9,Financial Services , 5k-10k Employees , 5k-10k Employees ,Bengaluru/Bangalore
Mindarika,3.8,Auto Components , 1k-5k Employees , 31 years old ,Gurgaon/Gurugram
JK Paper,4.0,Pulp & Paper , 1k-5k Employees , 61 years old ,Delhi/NCR
SoftAge Information Technology,4.1,IT Services & Consulting , 1k-5k Employees , 29 years old ,Gurgaon/Gurugram
Rane Engine Valve Limited,4.0,Auto Components , 1k-5k Employees , 64 years old ,Chennai
Lovely Professional University,3.5,Education & Training , 1k-5k Employees , 18 years old ,Phagwara
Parag Milk Foods,3.9,FMCG , 1k-5k Employees , 31 years old ,Mumbai
Welspun World,3.9,Building Material , 1k-5k Employees , 38 years old ,Mumbai
TIAA Global Business Services,4.2,IT Services & Consulting , 1k-5k Employees , 105 years old ,Manhattan
Titan Eye Plus,4.3,Other , 1 Lakh+ Employees (Global) , 16 years old ,Bangalore/Bengaluru
Sunbeam Auto,3.7,Auto Components , 1k-5k Employees , 37 years old ,Gurgaon/Gurugram
Border Security Force,4.6,Defence & Aerospace , 1 Lakh+ Employees , 58 years old ,Delhi/NCR
Astral Adhesives,4.1,Chemicals , 1k-5k Employees , 36 years old ,Ahmedabad
Balkrishna Industries,4.1,Auto Components , 1k-5k Employees , 36 years old ,Mumbai
K Raheja Corp,4.2,Real Estate , 1k-5k Employees , 67 years old ,Mumbai
