name,rating,service,No of employees,Company Age,Location
TNQ Technologies,3.7,Printing & Publishing , 1k-5k Employees , 25 years old ,Chennai
ZF Steering Gear,3.7,Auto Components , 501-1k Employees , 108 years old ,Pune
Sykes Business Services Of India,3.5,BPO , 10k-50k Employees , 46 years old ,Tampa
Brillio,3.6,IT Services & Consulting , 1k-5k Employees , 9 years old ,Edison
FOCUS EDUMATICS,2.8,EdTech , 5k-10k Employees , 24 years old ,Bangalore/Bengaluru
HFCL,4.1,Hardware & Networking , 1k-5k Employees , 36 years old ,Delhi/NCR
Pramerica Life Insurance,3.9,Insurance , 1k-5k Employees , 9 years old ,Gurgaon
JTEKT,4.2,Auto Components , 501-1k Employees , 17 years old ,Osaka
Future Focus Infotech,3.5,IT Services & Consulting , 5k-10k Employees , 26 years old ,Chennai
Pernod Ricard,3.8,Beverage , 1k-5k Employees , 48 years old ,Paris
THE LEELA PALACES HOTELS & RESORTS,4.0,Hospitality , 1k-5k Employees , 40 years old ,Mumbai
Kinara Capital,4.4,FinTech , 1k-5k Employees , 12 years old ,Bangalore
Metropolis Healthcare,4.0,Healthcare , 1k-5k Employees , 43 years old ,Mumbai
Panacea Biotec,3.8,Biotechnology , 1k-5k Employees , 39 years old ,Delhi/NCR
Centum Electronics,3.8,Electronics Manufacturing , 1k-5k Employees , 29 years old ,Bangalore/Bengaluru
Meril,3.8,Medical Equipment , 1k-5k Employees , 17 years old ,Vapi
Uber,4.2,Internet , 1k-5k Employees , 14 years old ,San Francisco
Incedo,3.6,IT Services & Consulting , 1k-5k Employees , 12 years old ,Iselin
Greaves Cotton,4.1,Industrial Machinery , 1k-5k Employees , 164 years old ,Mumbai
Bank of India,3.9,Banking , 50k-1 Lakh Employees , 117 years old ,Mumbai
Evision Technoserve,4.6,Recruitment , 201-500 Employees , 11 years old ,Delhi/NCR
GAMMON INDIA,3.9,Engineering & Construction , 11-50 Employees , 101 years old ,Mumbai
Birla Corporation,4.1,Building Material , 1k-5k Employees , 104 years old ,Kolkata
KEI Industries,4.1,Electrical Equipment , 1k-5k Employees , 55 years old ,Delhi/NCR
KIMS Hospital,4.1,Healthcare , 501-1k Employees , 11 years old ,Hyderabad/Secunderabad
CALIBEHR,3.8,Recruitment , 1k-5k Employees , 44 years old ,Mumbai
Qualcomm,4.0,Semiconductors , 10k-50k Employees , 27 years old ,San Diego
Happiest Minds Technologies,4.0,IT Services & Consulting , 1k-5k Employees , 12 years old ,Bangalore
Aviva Life Insurance India,4.0,Insurance , 1k-5k Employees , 327 years old ,London
Fluor Daniel India,4.1,Engineering & Construction , 501-1k Employees , 111 years old ,Irving
Snapdeal,4.0,Internet , 1k-5k Employees , 13 years old ,Delhi
