,Name,Rating,Cuisine,Avg Rate,Area,Zone
401,Just Delicious,," Chinese, North Indian",₹ 500 for 2 (approx) ,"Empress City Mall,Gandhibagh", East Nagpur
402,Hotel Sunny International,, North Indian,"₹ 1,000 for 2 (approx) ",Wardha Road, South Nagpur
403,Fionaa Lounge And Restaurant,2," North Indian, Chinese, Thai, Continental, Italian, Beverages","₹ 1,300 for 2 (approx) ",Dharampeth, West Nagpur
404,Babbu Gold Plaza,," Biryani, North Indian, Mughlai",₹ 800 for 2 (approx) ,Dhantoli, West Nagpur
405,Domino's Pizza,," Pizza, Fast Food",₹ 500 for 2 (approx) ,"Eternity Mall,Sitabuldi", Central Nagpur
406,Foodie Soul,," Mughlai, North Indian",₹ 600 for 2 (approx) ,Sitabuldi, Central Nagpur
407,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Sitabuldi, Central Nagpur
408,The Social Brew,1.3," Continental, Fast Food",₹ 900 for 2 (approx) ,Dharampeth, West Nagpur
409,Grand Dosa Point,, South Indian,₹ 200 for 2 (approx) ,Sitabuldi, Central Nagpur
410,Hotel Dwarkamai,," North Indian, Chinese",₹ 700 for 2 (approx) ,Gandhibagh, East Nagpur
411,Hotel Rahul,," North Indian, Chinese, South Indian",₹ 700 for 2 (approx) ,Gandhibagh, East Nagpur
412,Being foodie Express Kitchen,," Chinese, North Indian, Mughlai",₹ 800 for 2 (approx) ,Sitabuldi, Central Nagpur
413,New Moti Mahal Bar,, North Indian,₹ 600 for 2 (approx) ,Sitabuldi, Central Nagpur
414,Madinah By Mak's Kitchen,, North Indian,₹ 300 for 2 (approx) ,Gandhibagh, East Nagpur
415,Calcutta Bar & Restaurant,," North Indian, Chinese","₹ 1,300 for 2 (approx) ",Sitabuldi, Central Nagpur
416,Ujjaval Restaurant,," North Indian, Chinese",₹ 500 for 2 (approx) ,Gandhibagh, East Nagpur
417,Shiv Shakti Ice Cream,, Desserts,₹ 600 for 2 (approx) ,Dhantoli, West Nagpur
418,Runway712,, Fast Food,₹ 300 for 2 (approx) ,Ramdaspeth, West Nagpur
419,Cafe Coffee Day,5," Beverages, Fast Food",₹ 800 for 2 (approx) ,Wardhaman Nagar, East Nagpur
420,Sky Hi Restro,, North Indian,₹ 500 for 2 (approx) ,Gandhibagh, East Nagpur
421,Varhadi That,," North Indian, Maharashtrian, Desserts",₹ 250 for 2 (approx) ,Dhantoli, West Nagpur
422,Ganesh Bhojanalaya,," North Indian, Chinese",₹ 700 for 2 (approx) ,Sitabuldi, Central Nagpur
423,The Nagpur Ashok,2.3," North Indian, Chinese, Beverages, Desserts","₹ 1,000 for 2 (approx) ","Hotel Ashok,Bajaj Nagar", West Nagpur
424,Kaveri Bar,, North Indian,₹ 900 for 2 (approx) ,Sitabuldi, Central Nagpur
425,Moksh The Restro Lounge,," Italian, North Indian, Continental, Burmese","₹ 2,000 for 2 (approx) ",Sitabuldi, Central Nagpur
426,Moxa Restaurant,," North Indian, Chinese, Fast Food",₹ 800 for 2 (approx) ,Gandhibagh, East Nagpur
427,The Creative Kitchen - Radisson Blu Nagpur,5," North Indian, Continental","₹ 1,800 for 2 (approx) ","Radisson Blu Hotel Nagpur,Wardha Road", South Nagpur
428,Orange Restaurant,1," Maharashtrian, North Indian, Chinese",₹ 500 for 2 (approx) ,"MTDC Building,Civil Lines", West Nagpur
429,The Bukhara,," Chinese, Continental, Italian","₹ 1,000 for 2 (approx) ",Sitabuldi, Central Nagpur
430,Thanco's Natural Ice Cream,4.3, Desserts,₹ 200 for 2 (approx) ,Pratap Nagar, South Nagpur
431,Tauby's,, Desserts,₹ 500 for 2 (approx) ,Civil Lines, West Nagpur
432,Hibiscus,," North Indian, Continental","₹ 1,100 for 2 (approx) ",Civil Lines, West Nagpur
433,Mumbai Vada Pav,," Fast Food, Street Food",₹ 300 for 2 (approx) ,Gandhibagh, East Nagpur
434,Chandni Chowk Restaurant,," North Indian, Chinese",₹ 600 for 2 (approx) ,Dhantoli, West Nagpur
435,We Cafe,5," Fast Food, Burger, Pizza",₹ 300 for 2 (approx) ,Pratap Nagar, South Nagpur
436,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Gandhibagh, East Nagpur
437,Moti Mahal Tandoori Trail,," North Indian, Mughlai","₹ 1,500 for 2 (approx) ",Civil Lines, West Nagpur
438,Hungry Eyes,," North Indian, Chinese",₹ 500 for 2 (approx) ,pachpaoli, East Nagpur
439,Veeraswami,," South Indian, Street Food",₹ 300 for 2 (approx) ,Sadar, West Nagpur
440,Kailash Parbat,," Street Food, North Indian",₹ 600 for 2 (approx) ,Untkhana, West Nagpur
441,Vadilal Ice Cream,, Desserts,₹ 300 for 2 (approx) ,Ayodhya Nagar, South Nagpur
442,Agent Jack's Bar,," Chinese, North Indian, Continental","₹ 1,500 for 2 (approx) ",Ayodhya Nagar, South Nagpur
443,Checker's,," Chinese, Fast Food, Beverages",₹ 500 for 2 (approx) ,Civil Lines, West Nagpur
444,The Dark Knight Cafe,, Fast Food,₹ 600 for 2 (approx) ,Gandhibagh, East Nagpur
445,Kailash Parbat,, North Indian,₹ 800 for 2 (approx) ,"Lotus Plaza,Civil Lines", West Nagpur
446,UFO,," North Indian, Chinese, Continental","₹ 1,200 for 2 (approx) ","Hotel Centre Point,Ramdaspeth", West Nagpur
447,Subway,," Fast Food, Health Food",₹ 500 for 2 (approx) ,Civil Lines, West Nagpur
448,Fuel Station,," Chinese, Fast Food, Beverages","₹ 1,000 for 2 (approx) ",Gandhibagh, East Nagpur
449,Giani's,, Beverages,₹ 400 for 2 (approx) ,"VCA Stadium Complex,Civil Lines", West Nagpur
450,Fuel Station,," Chinese, Fast Food","₹ 1,000 for 2 (approx) ",Civil Lines, West Nagpur
451,Bullock Cart Bar & Restaurant,, North Indian,"₹ 1,300 for 2 (approx) ",Sadar, West Nagpur
452,Jashan Bar & Restaurant,, North Indian,"₹ 1,600 for 2 (approx) ",Sadar, West Nagpur
453,McDonald's,," Burger, Fast Food",₹ 500 for 2 (approx) ,"Trilium Mall,Untkhana", West Nagpur
454,Mad Fries,, Fast Food,₹ 500 for 2 (approx) ,"VCA Stadium Complex,Civil Lines", West Nagpur
455,Rangoli Hotel,," North Indian, Chinese",₹ 900 for 2 (approx) ,Dhantoli, West Nagpur
456,Shankar Bhojnalaya,, North Indian,₹ 600 for 2 (approx) ,Ramdaspeth, West Nagpur
457,Pizzzenia,, Pizza,₹ 700 for 2 (approx) ,Sadar, West Nagpur
458,Havmore,, Desserts,₹ 300 for 2 (approx) ,"VCA Stadium Complex,Civil Lines", West Nagpur
459,Eataly Cafe,," Continental, Italian",₹ 300 for 2 (approx) ,Civil Lines, West Nagpur
460,Fuel Blend,,,₹ 300 for 2 (approx),"VCA Stadium Complex,Civil Lines", West Nagpur
461,KFC,," Burger, Fast Food",₹ 600 for 2 (approx) ,"Trilium Mall,Untkhana", West Nagpur
462,Moti Mahal,," North Indian, Chinese",₹ 800 for 2 (approx) ,"Trilium Mall,Untkhana", West Nagpur
463,Top N Town,, Desserts,₹ 400 for 2 (approx) ,Sadar, West Nagpur
464,Haldiram's,," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Untkhana, West Nagpur
465,Baskin Robbins,, Desserts,₹ 400 for 2 (approx) ,Sadar, West Nagpur
